Nrate,Variety,MAT,MAP,SOC,TN,Irrigation,Deep,Dressing,Manure,Tillage,Straw,EFFs,Cultivation,wheat_type,Yield,N_surplus
260,2,17.40 ,1824.00 ,22.86 ,2.70 ,2,1,2,0,1,2,1,1,2,5.74 ,141.18 
90,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.26 ,68.82 
120,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.97 ,92.12 
150,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.44 ,115.62 
180,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.10 ,160.12 
240,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.28 ,236.42 
240,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.28 ,245.98 
90,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.26 ,96.52 
120,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.31 ,125.22 
150,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.23 ,157.31 
180,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.92 ,195.71 
240,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.44 ,268.74 
240,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.44 ,268.74 
90,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.84 ,108.09 
120,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,1.12 ,130.40 
150,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.98 ,164.06 
180,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.97 ,194.52 
240,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.51 ,266.90 
240,2,14.90 ,1187.00 ,10.51 ,1.44 ,1,1,2,0,1,2,1,1,2,0.51 ,266.90 
210,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,5.95 ,108.09 
210,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,6.83 ,68.84 
240,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,6.63 ,104.30 
240,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,7.26 ,73.47 
270,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,6.87 ,118.02 
270,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,6.62 ,106.33 
300,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,6.83 ,122.02 
300,2,14.60 ,1100.00 ,12.92 ,1.63 ,2,1,2,0,1,2,1,1,2,6.76 ,110.97 
120,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,7.54 ,-58.12 
210,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.33 ,9.27 
270,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.58 ,62.17 
330,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.09 ,136.06 
120,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.78 ,-93.63 
210,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,9.28 ,-17.99 
270,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,9.37 ,39.43 
330,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,9.24 ,103.26 
120,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,7.82 ,-66.15 
210,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.63 ,0.78 
270,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.67 ,59.58 
330,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.10 ,135.75 
120,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,9.43 ,-112.35 
210,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,9.35 ,-19.80 
270,2,13.47 ,587.19 ,7.62 ,1.10 ,2,1,2,0,1,2,1,1,2,8.84 ,54.53 
120,2,5.50 ,269.40 ,11.45 ,1.30 ,2,1,1,0,1,2,1,1,2,6.85 ,-30.19 
240,2,5.50 ,269.40 ,11.45 ,1.30 ,2,1,1,0,1,2,1,1,2,7.87 ,62.73 
360,2,5.50 ,269.40 ,11.45 ,1.30 ,2,1,1,0,1,2,1,1,2,7.16 ,201.54 
480,2,5.50 ,269.40 ,11.45 ,1.30 ,2,1,1,0,1,2,1,1,2,6.69 ,334.28 
105,2,15.07 ,958.90 ,6.47 ,0.93 ,2,1,2,0,1,2,1,1,2,6.86 ,-56.40 
210,2,15.07 ,958.90 ,6.47 ,0.93 ,2,1,2,0,1,2,1,1,2,7.37 ,33.90 
315,2,15.07 ,958.90 ,6.47 ,0.93 ,2,1,2,0,1,2,1,1,2,6.77 ,155.91 
105,2,15.07 ,958.90 ,6.47 ,0.93 ,2,1,2,0,1,2,1,1,2,7.66 ,-79.46 
210,2,15.07 ,958.90 ,6.47 ,0.93 ,2,1,2,0,1,2,1,1,2,8.45 ,3.09 
315,2,15.07 ,958.90 ,6.47 ,0.93 ,2,1,2,0,1,2,1,1,2,7.63 ,131.46 
90,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,3.42 ,31.91 
180,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,4.22 ,100.25 
270,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.86 ,145.94 
360,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.50 ,245.56 
90,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,3.93 ,18.27 
180,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,4.65 ,88.53 
270,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.62 ,152.48 
360,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.44 ,247.17 
90,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,3.63 ,26.23 
180,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,4.81 ,84.23 
270,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.96 ,143.09 
360,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.77 ,238.35 
90,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,3.43 ,31.78 
180,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,4.74 ,86.18 
270,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.76 ,148.48 
360,2,16.18 ,1263.20 ,8.24 ,0.89 ,2,1,2,0,1,2,1,1,2,5.67 ,241.02 
240,2,16.21 ,1000.50 ,10.44 ,1.31 ,2,1,2,0,1,2,1,1,2,3.47 ,180.70 
240,2,16.21 ,1000.50 ,10.44 ,1.31 ,2,1,2,0,1,2,1,1,2,3.99 ,166.61 
240,2,14.00 ,551.40 ,8.26 ,0.10 ,2,1,2,0,1,2,1,1,2,6.93 ,79.24 
240,2,14.00 ,551.40 ,8.26 ,0.10 ,2,1,2,0,1,2,1,1,2,6.92 ,79.68 
240,2,14.00 ,551.40 ,8.26 ,0.10 ,2,1,2,0,1,2,1,1,2,8.21 ,42.72 
240,2,14.00 ,551.40 ,8.26 ,0.10 ,2,1,2,0,1,2,1,1,2,8.03 ,47.71 
240,2,14.00 ,551.40 ,8.26 ,0.10 ,2,1,2,0,1,2,1,1,2,7.62 ,59.60 
240,2,14.00 ,551.40 ,8.26 ,0.10 ,2,1,2,0,1,2,1,1,2,8.02 ,48.09 
225,2,13.10 ,455.30 ,11.03 ,1.18 ,2,1,2,0,1,2,1,1,2,7.32 ,49.64 
225,2,13.10 ,455.30 ,11.03 ,1.18 ,2,1,2,0,1,2,1,1,2,7.56 ,46.64 
225,2,13.10 ,455.30 ,11.03 ,1.18 ,2,1,2,0,1,2,1,1,2,7.05 ,50.64 
225,2,13.10 ,455.30 ,11.03 ,1.18 ,2,1,2,0,1,2,1,1,2,7.16 ,37.64 
225,2,13.10 ,455.30 ,11.03 ,1.18 ,2,1,1,0,1,2,1,1,2,6.95 ,63.64 
